stt|type|question|answer1|answer2|answer3|answer4|key
185 TIME (37)||19.Civil twilight is defined by:|Sun altitude is 18Â° below the celestial horizon|Sun altitude is 6Â° below the celestial horizon|Sun altitude is 12Â° below the celestial horizon|Sun upper edge tangential to horizon|2
195 TIME (37)||20.Where is the International Dateline located?|To the west of the 180Â°E/W meridian only.|In the vicinity of the 180Â°E/W meridian.|To the east of the 180Â°E/W meridian only.|Exactly on the 180Â°E/W meridian.|2
205 TIME (37)||21.Assuming mid-latitudes (40Â° to 50Â°N/S), at which time of year is the relationship between the length of day and night, as well as the rate of change of declination of the sun, changing at the greatest rate?|Summer solstice and spring equinox|Spring equinox and autumn equinox|summer solstice and winter solstice|Winter solstice and autumn equinox|2
215 TIME (37)||22.Which of the following alternatives is correct when you cross the international date line?|The date will increase if you are crossing on a westerly heading.|The date will always be the same.|The date will increase if you are crossing on a easterly heading.|If you are crossing from westerly longitude to easterly longitude the date will remain the same.|1
225 TIME (37)||23.The headquarters (HQ) of an airline is located at Schiphol, the Netherlands (52Â°19'N, 004Â°46'E, UTC +2 hours). One of its aircraft departs from Quito, Ecuador (00Â°08'S, 078Â°21'W, UTC-5 hours) at 22:30 ST on the 26th August local date to Nairobi, Kenya (01Â°19â€²S, 036Â°56â€²E, UTC + 3 hours). The flight time is 11 hours 14 minutes. What is the Standard Time (ST) and local date at the airline HQ when the aircraft arrives at its destination?|09:44 ST on the 27th August|17:44 ST on the 27th August|06:44 ST on the 26th August|16:44 ST on the 27th August|4
235 TIME (37)||24.Which statement about ST is true?|Standard time is determined by the government of the appropriate state and does not necessarily follow the borders of 15Â° wide longitude zones.|In all cases the standard times at Western longitudes are slow on and at Eastern longitudes fast on UTC.|Standard time is the time that is determined by division of the longitude by 15 and rounding off the answer to the nearest integer.|The standard time at 125Â° W is UTC - 8h20m|1
245 TIME (37)||25.The time difference in Local Mean Time between sunset at positions A (50Â°N, 120Â°E) and B (50Â°S, 120Â°E) on the 21st of November is...|negligible small because A and B are located at the same meridian.|some hours and the Sun rises earlier in B than in A.|some hours and the Sun rises earlier in A than in B.|negligible small because A and B are located symmetrically to the Equator.|2
255 TIME (37)||26.The duration of civil twilight is the time...|between sunset and when the centre of the Sun is 6Â° below the celestial horizon.|agreed by the international aeronautical authorities, which is 12 minutes.|between sunset and when the centre of the Sun is 12Â° below the celestial horizon.|needed by the Sun to move from the apparent height of 0Â° to the apparent height of 6Â°|1
265 TIME (37)||27.When the time is 2000 UTC, it is:|0800 LMT at the Prime meridian.|2400 LMT at 120Â° West.|1200 LMT at 60Â° East.|1400 LMT at 90Â° West.|4
275 TIME (37)||28.What is the cause of the continuous variation in the length of the apparent solar day throughout the year?|The fact that the Earth is closest to the Sun around the 1st of July.|The fact that the Earth is closest to the Sun around the 1st of January.|The equation of time.|The tilt of the Earth's axis and the elliptical orbit of the Earth around the Sun.|4
285 TIME (37)||29.An observer is situated on the parallel of 23.5Â°S.Which statement about the passage of the apparent Sun in relation to this position is correct? It passes through the zenith...|twice a year around June 21st and December 22nd.|once a year around March 21st.|twice a year around March 21st and September 23rd.|once a year around December 22nd.|4
295 TIME (37)||30.Mu'a, Tonga Islands, is situated at 21Â°11'S, 175Â°07'W. In the Air Almanac the standard time of Tonga Islands is listed as UTC +13. For August 21st the sunrise table in the Air Almanac shows: 20Â°S: 06:18 30Â°S: 06:28 What is the Standard Time of sunrise at Mu'a?|06:59 on August 21st.|06:59 on August 22nd.|07:39 on August 22nd.|07:39 on August 21st.|2
305 TIME (37)||31.At mid and high latitudes, what is the main cause of the duration of daylight changing throughout the year? The...|changing duration of twilight in relation to the change of declination and inclination.|inclination of the Earth's spin axis in relation to the plane of rotation around the Sun.|variable distance between the Earth and the Sun due to the elliptical orbit around the Sun.|variable speed of rotation of the Earth around the Sun due to the elliptical orbit around the Sun.|2
315 TIME (37)||32.Given the following information from an air almanac, what is the daylight saving time and date in country B if the time and date in country A is 01:50 standard Time (ST) 20th June? ST in country A is UTC + 13 hours$ST in country B is UTC-11 hours.$Daylight saving times (ST +1 hour) is kept in country B from March to October.|01:50 19th June|00:50 19th June|02:50 19th June|01:50 21st June|3
325 TIME (37)||33.What is the meaning of the term standard time?|It is the time zone system and is applicable only in the Unites States of America.|It is the time set by the legal authorities for a country or part of a country.|It is an expression for Local Mean Time.|It is another term for UTC.|2
335 TIME (37)||34.In which statement is the Mean Sun best described?|The mean sun is a fictitious sun, the orbit of which coincides with that of the apparent sun, but is corrected for the mean difference in hour angle.|The mean sun is a fictitious sun travelling along the ecliptic at uniform speed.|The mean sun is a fictitious sun, the orbit of which coincides with that of the apparent sun, but is corrected for mean astronomical and atmospheric refraction.|The mean sun is a fictitious sun travelling along the celestial equator at uniform speed.|4
345 TIME (37)||35.The reason that the solar day lasts longer than the sidereal day is that...|the Sun has an own movement through the universe opposite to the movement of the Earth due to the gravitational forces of celestial bodies.|the orbital speed of the Earth around its axis diminishes slowly.|both the direction of rotation of the Earth around its axis and its orbital rotation around the Sun are the same.|the orbital track of the Earth around the Sun is an ellipse.|3
355 TIME (37)||36.The duration of daylight changes at the highest rate around the (1) because the duration of daylight is (2) proportional to the rate of change of the Sun's declination.| (1) equinoxes; (2) directly| (1) equinoxes; (2) indirectly| (1) solstices; (2) directly| (1) solstices; (2) indirectly|1
365 TIME (37)||37.Standard time for some areas is listed in the Air Almanac as UTC +13 instead of UTC -11. The reason for this is...|the set-up of the sunrise/sunset tables.|the sense of the Earth's rotation.|to keep the same date for areas in the same political or economical entity.|the fact that these areas are applying daylight saving time.|3
